baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
628683.2717,-10.85050242,1.142961334,-9.493324137,2.24E-21,1.23E-16
8.850177744,21.13102245,2.981257558,7.087956018,1.36E-12,3.74E-08
153.1033172,1.343506197,0.31209186,4.304842163,1.67E-05,0.306308729
2.684525021,4.640300581,1.126606587,4.11882962,3.81E-05,0.482189044
127.3829208,-2.587921836,0.633326373,-4.086237278,4.38E-05,0.482189044
2.743655441,3.502963286,0.935748469,3.743488131,0.000181483,0.581899751
58.26116423,-2.788587451,0.721832131,-3.863207705,0.000111908,0.581899751
242.2764936,0.824815601,0.213936616,3.855420432,0.000115531,0.581899751
3.990165138,4.406119194,1.169860597,3.766362597,0.000165643,0.581899751
5.178874048,2.780327516,0.729405964,3.811769649,0.000137975,0.581899751
1.892362191,-4.660501922,1.211886735,-3.845658004,0.000120229,0.581899751
40.83483344,3.986667903,1.007670081,3.956322589,7.61E-05,0.581899751
28.84157268,1.788369138,0.473731301,3.775070668,0.000159962,0.581899751
100.4776606,0.940728865,0.246695528,3.813319486,0.000137113,0.581899751
137.2067935,0.561725231,0.150938419,3.721552384,0.000198002,0.581899751
542.941194,-0.607529515,0.163434636,-3.717262928,0.000201393,0.581899751
2.212393942,3.987731547,1.076395696,3.704707815,0.000211635,0.581899751
233.3419863,0.771478734,0.200650385,3.844890377,0.000120606,0.581899751
294.8332063,0.477466149,0.128834368,3.706046419,0.00021052,0.581899751
101.615518,1.112406242,0.29540977,3.765637955,0.000166124,0.581899751
73.54806426,1.055714038,0.287095749,3.677219334,0.00023579,0.617444935
16.18092064,1.502437823,0.418115461,3.593356293,0.000326446,0.815980766
2.639706785,-2.665095968,0.748828469,-3.55902063,0.00037224,0.889994176
18.24094237,-1.632894514,0.464161758,-3.517942796,0.000434906,0.996496728
0.092344453,0.29600209,3.055655294,0.096870249,0.922829435,0.999997623
0.253098461,1.362220136,3.037719017,0.4484352,0.653839142,0.999997623
0.107169338,0.29600209,3.055655294,0.096870249,0.922829435,0.999997623
0.229789777,0.521401517,2.535480198,0.205642117,0.837070476,0.999997623
0.447715077,2.077410901,3.018900883,0.688134848,0.491367867,0.999997623
271.7173027,-0.100483337,0.238151156,-0.421930921,0.673075439,0.999997623
0.078810225,0.29600209,3.055655294,0.096870249,0.922829435,0.999997623
306.3504866,0.102329007,0.250413241,0.408640558,0.682803462,0.999997623
1421.838171,-0.017349986,0.163522543,-0.106101496,0.915501824,0.999997623
0.13851668,0.628780227,3.05495638,0.20582298,0.83692919,0.999997623
16.62040402,-0.224961477,0.408527002,-0.55066489,0.581863417,0.999997623
479.0027318,-0.482492543,0.270001012,-1.787002719,0.073937049,0.999997623
13.72133888,-0.143081179,0.369719253,-0.386999535,0.698756552,0.999997623
10.11958579,-0.438864426,0.373948214,-1.173596795,0.240556566,0.999997623
0.571113185,0.687958718,1.231886632,0.558459439,0.576530694,0.999997623
1.012386045,1.630541174,1.328067454,1.227754786,0.219539033,0.999997623
50.89736363,0.06125285,0.220314539,0.278024548,0.780993515,0.999997623
70.11102509,0.100332249,0.347688361,0.288569477,0.772910856,0.999997623
28.24336873,-0.097327299,0.416590176,-0.233628407,0.815273472,0.999997623
12.35391665,-0.644376886,0.551055466,-1.169350321,0.242262517,0.999997623
6.010012212,0.295411228,0.472344015,0.625415414,0.531698448,0.999997623
217.6970164,-0.251092358,0.274263706,-0.915514348,0.359921674,0.999997623
2.091283004,6.86E-05,0.634910227,0.000108071,0.999913772,0.999997623
3.818928937,0.375706771,0.486569699,0.772154065,0.440023184,0.999997623
6.100709603,-0.67663918,0.568187622,-1.190872792,0.233703527,0.999997623
538.0429513,0.014567861,0.13798301,0.105577209,0.915917808,0.999997623
11.4029725,-0.100030191,0.36946332,-0.270744578,0.786587489,0.999997623
109.827476,0.099107592,0.275686421,0.359493918,0.719225627,0.999997623
30.93584954,-0.341167267,0.516486489,-0.660554098,0.508898314,0.999997623
19.07502909,-0.137183962,0.334460037,-0.410165483,0.681684559,0.999997623
2.660521219,-0.310751713,0.81615377,-0.380751428,0.703387704,0.999997623
1.131840116,0.074704947,0.885493011,0.084365371,0.932765939,0.999997623
11.00143003,0.014395066,0.366307875,0.039297725,0.96865302,0.999997623
1.202357513,-0.574555374,0.850635513,-0.675442495,0.499394675,0.999997623
62.89465833,-0.194525851,0.351085781,-0.554069295,0.579531423,0.999997623
71.84271549,-0.413994505,0.405356808,-1.021308874,0.307108123,0.999997623
1.828871459,-0.124896883,0.666504085,-0.187391025,0.851354059,0.999997623
40.74542392,-0.181981854,0.376855641,-0.482895396,0.629170011,0.999997623
1115.515591,0.686213008,1.027435221,0.667889317,0.504204247,0.999997623
8183.474888,-0.591101747,0.375148025,-1.575649363,0.115106633,0.999997623
31521.46919,-0.272867287,0.314015622,-0.868960865,0.384868537,0.999997623
80.11629432,-0.539923887,0.335263742,-1.61044521,0.107300698,0.999997623
5.717613298,0.137560812,0.531169586,0.258977199,0.795652833,0.999997623
5588.237877,-0.342768368,0.282354796,-1.213963327,0.224761729,0.999997623
302.8550647,-0.645208342,0.284956162,-2.264237196,0.02355953,0.999997623
2.295923899,0.158555114,0.623947399,0.254116154,0.799405823,0.999997623
13.26121249,-0.122009587,0.374631158,-0.325679231,0.74466706,0.999997623
67.24259519,-0.232636437,0.398612366,-0.583615704,0.559478892,0.999997623
592.5106322,-0.485160839,0.326613596,-1.485427568,0.137430597,0.999997623
1.220931739,-0.508265615,0.907881033,-0.559837244,0.575590458,0.999997623
7.051782558,0.093215767,0.363534989,0.256414843,0.797630528,0.999997623
4.405901404,0.474778373,0.99809578,0.475684181,0.634299393,0.999997623
0.945830705,-0.125603018,0.904410218,-0.138878371,0.889546262,0.999997623
71.55713682,-0.126121027,0.241823459,-0.521541736,0.601989439,0.999997623
84.5787596,-0.2482831,0.140214304,-1.77074017,0.076603919,0.999997623
62.78207777,-0.343242297,0.257278102,-1.334129469,0.18216143,0.999997623
202.4873711,-0.097721488,0.16468161,-0.593396484,0.552915841,0.999997623
20.67677165,0.225978368,0.523356109,0.431787008,0.665896223,0.999997623
26.56125394,-0.068743744,0.379528102,-0.181129524,0.856265911,0.999997623
2.968086532,-0.104112211,1.071837904,-0.097134287,0.922619752,0.999997623
0.34765922,1.767498651,3.026462396,0.584014741,0.559210395,0.999997623
98.03275291,0.26523262,0.537601976,0.493362435,0.62175652,0.999997623
12.43322707,0.40904258,0.451360533,0.906243567,0.364806948,0.999997623
10.02370341,0.089419553,0.341232559,0.262048714,0.793283886,0.999997623
1345.063708,-0.146774793,0.176861808,-0.829884045,0.406604346,0.999997623
171.8876891,-0.168163448,0.341504495,-0.492419429,0.622422867,0.999997623
1.330282701,-0.837271927,2.504533143,-0.334302594,0.738151233,0.999997623
4.45417023,-2.606127381,1.146247058,-2.27361751,0.022988994,0.999997623
30.0818726,-0.358320549,0.56723418,-0.63169774,0.527584405,0.999997623
147.4792479,-0.495825199,0.266594025,-1.859851132,0.062906591,0.999997623
150.7553831,0.068640208,0.220930771,0.310686499,0.756038962,0.999997623
0.807555666,1.086083665,1.505538364,0.721392222,0.470668231,0.999997623
2.595869689,0.14962843,0.675665958,0.22145326,0.824739526,0.999997623
2409.857852,-0.56326596,0.297005266,-1.896484759,0.057895973,0.999997623
7.214348667,0.448971809,0.620096761,0.724035082,0.469044197,0.999997623
5.425501032,-1.166281791,0.920755302,-1.266657698,0.205277712,0.999997623
44.50534616,-0.169359295,0.264502535,-0.640293654,0.521981706,0.999997623
2.252131599,-0.435229517,1.30206342,-0.334261381,0.73818233,0.999997623
231.6238207,-0.066931421,0.240792264,-0.277963338,0.781040502,0.999997623
50.80989566,-0.414706156,0.406367142,-1.020520886,0.307481489,0.999997623
12.00547184,-0.913554727,0.725614524,-1.259008325,0.208027325,0.999997623
11.60870403,-0.362117094,0.588666227,-0.61514841,0.538456714,0.999997623
599.1451083,-0.099875011,0.129546859,-0.770956637,0.440732634,0.999997623
449.0497692,-0.184838237,0.331356664,-0.557822602,0.576965527,0.999997623
1.175933729,0.277066716,0.93875755,0.295141931,0.767885459,0.999997623
1697.149762,-0.42461934,0.246914555,-1.719701537,0.085486708,0.999997623
0.691250472,-0.010756123,1.409942841,-0.007628765,0.993913185,0.999997623
1.604187595,-1.001238328,1.183925243,-0.845693877,0.39772354,0.999997623
17.59943576,0.1658274,0.423863778,0.391228051,0.695628676,0.999997623
404.0887339,0.09168777,0.17241911,0.531772668,0.594883455,0.999997623
1.288951453,-0.126877326,1.250535077,-0.10145843,0.919186555,0.999997623
480.4352586,-0.243596431,0.229589133,-1.061010281,0.288685229,0.999997623
0.107528887,-1.071729024,3.05531713,-0.350775051,0.725757115,0.999997623
0.247599637,0.121546688,3.051198656,0.039835718,0.9682241,0.999997623
1447.566765,-0.533200299,0.251305317,-2.121723114,0.033860996,0.999997623
435.7656082,-0.227963415,0.170219208,-1.339234375,0.180494385,0.999997623
16.69499653,-0.724432952,0.408426697,-1.773715961,0.076110145,0.999997623
8.650193233,-0.012085747,0.543735419,-0.022227256,0.982266675,0.999997623
53.12403391,-0.356235061,0.360689541,-0.987650098,0.323324042,0.999997623
3686.207199,-0.496235559,0.298460697,-1.6626496,0.096382596,0.999997623
152.2613135,-0.054187995,0.22782532,-0.237848869,0.811998314,0.999997623
4.590873882,-0.327060072,0.547498168,-0.597371994,0.550259048,0.999997623
80.8129719,-0.049138209,0.259676216,-0.189228761,0.849913527,0.999997623
383.9403451,-0.105981368,0.151425189,-0.699892588,0.483994387,0.999997623
85.87217372,-0.003921948,0.345240666,-0.011360042,0.990936193,0.999997623
2455.250022,-0.190903445,0.173223031,-1.102067339,0.270432397,0.999997623
406.0117975,-0.404655444,0.269238053,-1.502965272,0.132848,0.999997623
747.5345988,-0.172112341,0.130391113,-1.319969871,0.186845078,0.999997623
2282.680565,0.056678248,0.082104553,0.690317972,0.489994249,0.999997623
332.9251567,-0.077710262,0.109738108,-0.708142905,0.478856518,0.999997623
742.8682422,-0.070800403,0.17543701,-0.403565946,0.686531931,0.999997623
1.117551512,-0.212338709,0.852584587,-0.249052953,0.803319821,0.999997623
68.34536195,-0.132534417,0.177885615,-0.745054157,0.456238981,0.999997623
345.6774042,-0.115788101,0.303279848,-0.381786332,0.702619857,0.999997623
10.72240386,-6.06E-05,0.68627866,-8.84E-05,0.999929498,0.999997623
1473.034798,0.345744404,0.283316727,1.220345895,0.222333778,0.999997623
1525.617269,0.25904494,0.2279701,1.13631103,0.255826416,0.999997623
